YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,label
-2.806435335,9.2595,231.75,-15.6374,0.040789079,3.77741442,45.98639456,1.326528919,0.502858353,0.437280702,0.41622807,0
-7.822407413,29.6472,-22.93,75.1633,0.227363112,0.14407747,41.15060462,2.788168489,-0.012106233,0.006669446,0.001250521,0
16.01117194,28.764,2.21,3.4304,0.132810619,0.571490314,11.81272509,1.743859877,-0.118580447,0.004472272,0.004472272,1
-21.18935598,3.6141,-21.93,-94.6134,-0.216014042,-0.873422758,108.5235921,3.276303015,0.076652046,0.110671937,0.555116381,1
-23.04986875,58.8956,-784.98,-666.7056,0.35589444,-10.77157814,-15.10373444,3.822038605,-0.117789627,0.484638685,0,0
20.78631363,72.6089,64.15,9.9777,0.28496599,0.392623569,134.1705221,23.08632873,5.655841621,1,0.829888028,0
21.78207652,23.7036,82.25,1.603,0.52574781,0.636284792,48.34482759,3.714941286,0.338230412,0.976272649,0.100517688,1
-4.426582007,15.1652,-38.73,3.1605,-0.016792798,-0.234187363,40.64864865,3.929238701,0.961664965,0.648282535,0.447508466,0
20.40519495,37.067,105.7371901,-53.9617,0.836099591,-1.01193613,78.25,2.131695074,1.542746615,0.248058671,0.446505608,1
-6.291935563,13.2805,-22.98,-41.6965,0.029435295,-0.164536923,64.70588235,5.219228267,-0.03446258,0.965116279,0.532861476,1
-16.59300507,6.4494,-54.99,26.3903,-0.112799086,0.811026667,137.032967,4.413267526,1.000069735,0.188453608,0.658556701,0
0.555423472,156.6856,224.8,689.7497,0.958387673,4.925101466,61.07594937,6.92224405,0.712052943,0.464102564,0.006153846,0
-17.50250067,25.2402,-7.03,36.1359,-0.005867498,0.293525902,16.975,3.320126112,-0.024558763,0,0,0
-38.49225171,125.5837,-626.08,72.5591,-0.214849877,1.544456714,-46.73913043,1.848742992,-0.043499753,0.278577858,0,0
4.155946611,-61.3468,-81.02,286.8217,-0.395800376,-0.869093599,148.9130435,6.179561313,0.55990099,0.41954262,0.410810811,0
14.3719589,26.4647,14.67,46.5925,0.139194263,0.113352845,55.55339428,12.93477236,1.239205511,1,0.991554054,1
8.883834511,11.2979,36.75,110.6187,0.332604184,4.730258369,33.0625,2.241228583,-0.013410302,0.35755814,0.032807309,0
-3.435112537,241.5757,196.19,-153.7284,1.336103456,0.647002499,35.78571429,6.972946462,0.263071358,0.984959175,0.183498066,0
-33.08268289,52.0177,-58.75,-30.6287,-0.208826369,-0.832447211,53.30434783,2.45537367,0.531041865,0.11662531,0.995864351,1
-10.27996354,2.639,-7.31,-20.378,19.19397838,6.87245239,8.055403681,0.181825781,-0.208029292,0,0.078661088,0
49.9264119,92.6025,-1.6,18.9095,2.081531331,3.636164349,9.439747282,1.376800153,0.047011483,0.119504908,0.1446863,1
-30.85830723,147.1658,48.74,-87.0551,1.045533873,0.061675177,52.88888889,1.664344745,-0.006559332,0.437241949,0.545829893,0
-57.81676554,-45.9478,-117.03,-24.7421,-0.544407514,-0.017770722,-96.99042408,1.542576372,0.146189376,0.105284889,0,0
-18.63509648,10.3235,101.63,-153.5142,-0.080249966,-0.993764478,292.5925926,2.525770494,-0.453287197,0.260301508,0.871859296,0
-65.75566549,2158.2115,-42.4,-2439.6906,-0.583392868,0.143177861,-3.724534433,1.564133055,-0.278537707,0.140028289,0,1
-40.01495914,-32.1014,43.88,1045.417,-0.467127481,6.655500821,144.4162437,2.319231468,0.753080986,0.364871194,0.398594848,1
0.256958205,17.1696,29.91,-72.5888,0.164215689,-1.857811764,17.22753936,1.088498647,0.294377554,0.151925518,0.234870927,0
