YSTZ,YSHZ,SJLTZ,SJLHZ,第四季度营收变化,第四季度利润变化,市盈率,市净率,股价变动,市净率百分位,市盈率百分位,净现比,WEIGHTAVG_ROE,XSMLL,label
25.94165706,21.5818,33.11,19.5695,0.47304522,1.036092167,92.81707317,14.95961901,-0.007026503,0.795096322,0.709281961,1.213390032,17.84,86.96534167,1
68.20979858,-42.6229,111.58,-77.7142,0.142773206,0.158399473,14.95904437,3.785181114,0.842124367,0.71957672,0,0.918282431,28.15,40.07153762,1
21.31183761,41.5687,70.99,49.1998,0.290480136,0.753399283,37.3974359,5.288842446,0.695977187,0.69384058,0.173913043,1.051688936,15,48.18584407,1
22.59078018,-13.2199,13.89,-54.6687,0.105170631,-0.369571206,20.00542005,5.071000917,-0.149930907,0.757914339,0,0.925306295,28.54,51.64988124,1
2.32144618,-11.4131,57.02,-75.0222,0.078534782,-2.204756535,32.8951049,5.096938924,0.088025377,0.596,0.56,1.196197043,16.15,82.36693588,0
54.3614417,11.5827,21.13,-23.8808,0.498726772,0.208655295,120.744186,12.62829936,0.923114049,0.23246493,0.855711423,1.370108305,21.76,45.78817821,0
-4.792986105,14.5595,50.88,121.2538,0.692100359,0.433604661,52.82824378,6.700810135,-0.336584218,0.389010989,0.404395604,1.176069683,18.8,29.50869623,1
58.964212,-0.8445,59.34,41.0815,0.613547131,0.876477995,72.10290237,16.30654613,0.236003976,0.862068966,0.862068966,0.949394387,25.93,34.02334593,0
82.98151691,17.5987,151.3,17.4697,1.014393451,1.005307439,79.53246753,14.63277191,1.815529446,0,0,1.083956568,29.05,31.82067695,1
49.15240206,-23.3137,77.14,-59.7429,0.311747153,-0.158954039,80.66984446,8.347600997,-0.148506131,0,0,1.05051472,15.48,52.65050493,1
10.87623493,42.1233,9.46,74.4699,0.290334243,0.2776684,52.46376812,7.522586886,-0.128760529,0,0,1.036089896,15.29,70.52160693,0
37.3906282,100.5515,31.72,334.0327,0.417589177,0.251292336,41.95897436,4.394522163,-0.488350902,0,0,0.963221436,18.63,67.32901853,1
0.174410913,31.5179,12.27,29.5739,0.163591575,0.336918857,27.48648649,4.056196823,-0.032653458,0,0,1.146316177,15.74,40.4405048,1
20.19212844,-17.5911,17.1,-36.5268,0.496785632,0.19107203,24.37869822,3.856350138,-0.119846187,0,0,1.046186112,18.14,31.10155499,0
16.70631552,8.1595,22.39,97.59,0.246572706,0.376842924,30.56666667,2.342307229,-0.565528181,0,0,2.10839367,20.98,21.59737031,0
43.00599369,75977.9237,261.5338009,853.4961,34.14603421,-2.489109226,116.9491525,125.3117351,-0.317836756,0.822657952,0.105010893,2.546318694,231.3,6.845491363,0
4.518061368,13.3505,3099.33,4362.7617,0.085186717,466.1936854,8.073303616,0.871548503,0.259845418,0.224843524,0,1.118892293,17.403,24.15805774,1
16.72967841,20.2539,52.14,22.3106,0.197823247,0.521827242,32.53019287,7.57492748,0.700279792,0.88769167,0.385826772,1.362881172,25.15,33.99631108,1
7.909253401,32.067,-0.87,86.6541,0.240360057,1.103503099,23.609375,4.862775303,-0.329646547,0.804973822,0.736038394,1.677056702,22.2,23.85381769,0
51.19052474,36.3112,34.28,-18.5592,1.005408774,0.11163176,15.11979167,4.356566078,1.162575381,0.479659413,0.011825922,1.786367252,32.55,18.54463425,1
7.114883373,28.1027,11.62,49.7812,0.22311375,0.575311984,22.0626053,3.735076941,0.296090494,0.593160894,0.227531784,2.111424152,16.3,16.59709768,0
18.7481268,131.674,11.71,96.4633,0.207343832,0.048328724,30.93396226,4.438256175,0.615915331,0.272448533,0.604029785,1.150228757,15.06,26.80472772,0
