YSTZ	YSHZ	SJLTZ	SJLHZ	第四季度营收变化	第四季度利润变化	市盈率	市净率	股价变动	市净率百分位	市盈率百分位	净现比	WEIGHTAVG_ROE	XSMLL	label
-42.85036734	29.4556	69.03	-405.2532	-0.420895453	-0.797968388	-10.14005602	4.725298094	-0.204104067	0.171822941	0	-0.20522028	-37	9.248124156	1
-13.14071502	44.1502	147.92	52.9449	-0.010934856	-1.54181199	17.56818182	1.553818427	1.014212957	0.708261618	0.209982788	-1.071240042	9.18	13.33532993	0
11.56610319	19.3358	-78.16	-25.9972	0.329565267	-197.5891929	239.5238095	1.689153971	-0.152913439	0.422743056	0.912326389	13.03783203	0.68	17.50273298	1
-8.975886079	37.3342	100.44	-194.8396	0.225770364	-0.965403728	-16.37183489	39.58382487	0.109966405	1	0	-0.681631487	-78.85	1.887228964	1
-4.87233159	26.4593	258.07	3206.1123	1.109939634	4.438157633	42.13036566	2.435728162	-0.078794902	0.042833608	0.09184514	-3.346348578	5.99	11.8551239	0
8.551921715	14.6154	-3.7	-98.6758	0.441708098	-0.984346429	12.24074074	2.068648902	0.109991604	0.619109382	0.084306096	1.260953103	12.56	6.91869152	0
2.903470453	2.7067	11.84	5.0563	0.152037361	0.384570318	16.81666667	3.590800138	-0.261922557	0.968466523	0.615982721	1.934702005	22.92	17.63367365	0
-11.39002374	-11.005	-33.33	15.0345	-0.009491301	-0.299329305	22.41666667	0.575712996	0.270866142	0.265280136	0.33106961	6.03130021	2.15	12.37110033	0
2.189825169	73.3916	-11.92	379.1923	0.026930857	-0.353243429	110.791993	3.258343623	0.213867321	0.74264383	0.799297321	3.958405229	2.95	14.50179513	1
8.277592502	14.1948	2.06	66.9644	0.199837475	0.143458424	7.124284971	1.394143325	0.44973545	0.41063009	0.174024861	1.646689914	21.26	12.18492644	0
0.908370339	53.6833	11.51	103.4833	0.017063951	0.158458577	8.065934066	0.840813919	0.088098263	0	0	1.782076476	10.73	31.12359169	0
7.616459863	245.3394	-42.63	1446.6894	1.149688345	2.300066868	18.34159531	1.886626327	-0.276291279	0.002770083	0.103416436	1.456991627	10.55	21.69464209	0
16.79566466	-17.041	162.46	90.9738	0.339969988	37.54854862	50.23076923	2.549468549	0.72036131	0.982608696	0.452173913	8.676741736	5.15	19.71887883	1
4.92169624	3175.1106	113.92	1097.8159	-0.659006237	-1.359180142	0	0	-1	0	0	7.879647814	15.05	12.79711208	0
-4.709440806	-75.275	-14.32	-234.0608	-0.032004651	-0.304837617	104.2857143	1.553609365	0.231523136	0.486999587	0.89929839	7.955369044	1.49	39.18881431	1
-0.570736415	19.6753	20.09	12.8315	0.347785412	-2.672494608	27.43867655	0.989461347	-0.006100561	0	0.471340206	3.063640592	3.63	15.83840599	1
-84.69754309	134.6549	-1171.83	-673.7201	-0.667450389	0.829224443	-1.145019167	0.390799003	-0.612141653	0	0	0.589830444	-29.25	11.78394206	1
-12.5381238	111.007	-35.92	-61.9559	-0.548882596	-0.837974389	12.44	1.412929011	-0.180809031	0.518010292	0.200686106	-53.89447756	12.02	26.52482163	1
9.277328151	13.759	47.58	-6.9951	0.15237203	0.532282812	46.39249639	8.629545173	0.21714154	1	0.664660361	1.297299331	20.18	27.95853393	0
25.89194562	-30.198	48.73	-161.4975	0.05416137	1.039120247	29.38461538	1.125457144	-0.164272805	0.044534413	0.230769231	-4.032906736	4.06	0	0
-38.74526927	26.8245	102.03	13.5688	-0.170909303	-0.971524542	464.2201835	2.179470735	0.18211147	0.392632901	0.998744244	-14.94249921	0.46	19.08455918	0
-41.67507522	5.8221	-157.46	32.9038	-0.426636637	-1.062432354	-171.4592275	4.125807384	1.283789302	0.62585034	0	-1.214627711	-2.38	6.200275269	0
-43.769028	5.8878	82.39	-136.7573	-0.404832166	-0.908594126	-11.86486486	1.867943443	-0.244282318	0.146292585	0	-0.225683574	-14.62	79.82541411	1
-2.806435335	9.2595	231.75	-15.6374	0.040789079	3.77741442	45.98639456	1.326528919	0.502858353	0.437280702	0.41622807	12.57518316	2.93	20.3211143	0
-7.822407413	29.6472	-22.93	75.1633	0.227363112	0.14407747	41.15060462	2.788168489	-0.012106233	0.006669446	0.001250521	-0.144574489	6.86	21.71559163	0
5.065367548	-2.336	21.06	-35.8642	0.300167095	0.931071777	9.138956177	0.748662904	0.199752203	0.067487267	0.210526316	1.721396076	8.37	12.99723802	1
16.01117194	28.764	2.21	3.4304	0.132810619	0.571490314	11.81272509	1.743859877	-0.118580447	0.004472272	0.004472272	0.934460718	15.62	27.9673026	1
-21.3201136	17.3204	168.68	2602.3484	0.019039593	0.515970696	48.28571429	1.239488814	-0.039772727	0.012110727	0.308391003	-6.417910413	2.65	6.851025581	1
-21.18935598	3.6141	-21.93	-94.6134	-0.216014042	-0.873422758	108.5235921	3.276303015	0.076652046	0.110671937	0.555116381	-1.740235443	3.07	45.47342507	1
